Frequency[MHz];Amplitude RX1[mV] at pwm=100
107.125;1809
107.188;1528
107.250;1208
107.313;1210
107.375;1269
107.438;1318
107.500;1359
107.563;1330
107.625;1311
107.688;1247
107.750;1127
107.813;1110
107.875;1137
107.938;1127
108.000;1062
108.063;1325
108.125;1728
108.188;1633
108.250;1035
108.313;1010
108.375;1245
108.438;1286
108.500;1157
108.563;1101
108.625;1071
108.688;1013
108.750;996
108.813;1020
108.875;1057
108.938;1071
109.000;1083
109.063;1127
109.125;1145
109.188;1252
109.250;1113
109.313;1022
109.375;1188
109.438;1796
109.500;1853
109.563;1369
109.625;1057
109.688;1062
109.750;1042
109.813;1042
109.875;1103
109.938;1184
110.000;1098
110.063;1132
110.125;1159
110.188;1037
110.250;1076
110.313;1027
110.375;920
110.438;939
110.500;1123
110.563;1437
110.625;1730
110.688;1911
110.750;1955
110.813;2006
110.875;1989
110.938;1906
111.000;1726
111.063;1477
111.125;1254
111.188;1198
111.250;1237
111.313;1284
111.375;1337
111.438;1354
111.500;1362
111.563;1374
111.625;1357
111.688;1354
111.750;1376
111.813;1357
111.875;1354
111.938;1364
112.000;1333
112.063;1328
112.125;1362
112.188;1345
112.250;1354
112.313;1372
112.375;1345
112.438;1391
112.500;1394
112.563;1379
112.625;1418
112.688;1420
112.750;1403
112.813;1398
112.875;1376
112.938;1364
113.000;1364
113.063;1347
113.125;1347
113.188;1369
113.250;1354
113.313;1369
113.375;1386
113.438;1372
113.500;1396
113.563;1374
113.625;1376
113.688;1381
113.750;1362
113.813;1347
113.875;1362
113.938;1364
114.000;1374
114.063;1376
114.125;1362
114.188;1381
114.250;1413
114.313;1408
114.375;1396
114.438;1374
114.500;1359
114.563;1386
114.625;1376
114.688;1379
114.750;1435
114.813;1503
114.875;1611
114.938;1591
115.000;1589
115.063;1542
115.125;1394
115.188;1364
115.250;1364
115.313;1364
115.375;1357
115.438;1372
115.500;1374
115.563;1364
115.625;1372
115.688;1376
115.750;1376
115.813;1364
115.875;1352
115.938;1359
116.000;1352
116.063;1369
116.125;1374
116.188;1340
116.250;1352
116.313;1352
116.375;1352
116.438;1352
116.500;1357
116.563;1350
116.625;1352
116.688;1352
116.750;1369
116.813;1350
116.875;1354
116.938;1347
117.000;1357
117.063;1337
117.125;1362
117.188;1357
117.250;1342
117.313;1350
117.375;1340
117.438;1352
117.500;1376
117.563;1384
117.625;1376
117.688;1357
117.750;1354
117.813;1364
117.875;1362
117.938;1342
118.000;1345
118.063;1354
118.125;1352
118.188;1350
118.250;1350
118.313;1328
118.375;1330
118.438;1328
118.500;1340
