Frequency[MHz];Amplitude RX1[mV] at pwm=100
 79.125;2102
 79.188;2102
 79.250;2111
 79.313;2104
 79.375;2106
 79.438;2102
 79.500;2102
 79.563;2104
 79.625;2104
 79.688;2099
 79.750;2104
 79.813;2094
 79.875;2094
 79.938;2089
 80.000;2092
 80.063;2099
 80.125;2104
 80.188;2104
 80.250;2099
 80.313;2106
 80.375;2099
 80.438;2099
 80.500;2104
 80.563;2089
 80.625;2084
 80.688;2092
 80.750;2082
 80.813;2097
 80.875;2092
 80.938;2077
 81.000;2082
 81.063;2080
 81.125;2087
 81.188;2084
 81.250;2082
 81.313;2080
 81.375;2082
 81.438;2077
 81.500;2070
 81.563;2077
 81.625;2060
 81.688;2050
 81.750;2036
 81.813;2006
 81.875;1967
 81.938;1940
 82.000;1909
 82.063;1889
 82.125;1848
 82.188;1833
 82.250;1806
 82.313;1799
 82.375;1804
 82.438;1791
 82.500;1796
 82.563;1796
 82.625;1789
 82.688;1787
 82.750;1770
 82.813;1760
 82.875;1770
 82.938;1757
 83.000;1757
 83.063;1750
 83.125;1745
 83.188;1730
 83.250;1723
 83.313;1728
 83.375;1706
 83.438;1682
 83.500;1689
 83.563;1677
 83.625;1657
 83.688;1655
 83.750;1647
 83.813;1638
 83.875;1643
 83.938;1630
 84.000;1621
 84.063;1621
 84.125;1618
 84.188;1608
 84.250;1601
 84.313;1611
 84.375;1599
 84.438;1594
 84.500;1596
 84.563;1601
 84.625;1594
 84.688;1591
 84.750;1594
 84.813;1594
 84.875;1601
 84.938;1601
 85.000;1616
 85.063;1608
 85.125;1623
 85.188;1643
 85.250;1647
 85.313;1660
 85.375;1665
 85.438;1669
 85.500;1677
 85.563;1672
 85.625;1652
 85.688;1606
 85.750;1574
 85.813;1569
 85.875;1518
 85.938;1464
 86.000;1384
 86.063;1342
 86.125;1315
 86.188;1313
 86.250;1318
 86.313;1311
 86.375;1306
 86.438;1313
 86.500;1325
 86.563;1318
 86.625;1306
 86.688;1311
 86.750;1311
 86.813;1306
 86.875;1308
 86.938;1306
 87.000;1315
 87.063;1311
 87.125;1296
 87.188;1311
 87.250;1308
 87.313;1313
 87.375;1311
 87.438;1311
 87.500;1311
 87.563;1313
 87.625;1315
 87.688;1313
 87.750;1318
 87.813;1313
 87.875;1315
 87.938;1315
 88.000;1313
 88.063;1313
 88.125;1318
 88.188;1315
 88.250;1318
 88.313;1318
 88.375;1311
 88.438;1315
 88.500;1315
 88.563;1315
 88.625;1315
 88.688;1311
 88.750;1313
 88.813;1320
 88.875;1301
 88.938;1306
 89.000;1296
 89.063;1311
 89.125;1301
 89.188;1296
 89.250;1303
 89.313;1301
 89.375;1293
 89.438;1301
 89.500;1291
 89.563;1281
 89.625;1281
 89.688;1279
 89.750;1262
 89.813;1269
 89.875;1269
 89.938;1257
 90.000;1252
 90.063;1245
 90.125;1250
 90.188;1242
 90.250;1237
 90.313;1240
 90.375;1225
 90.438;1232
 90.500;1225
 90.563;1203
 90.625;1193
 90.688;1186
 90.750;1191
 90.813;1181
 90.875;1171
 90.938;1171
 91.000;1166
 91.063;1159
 91.125;1166
 91.188;1159
 91.250;1152
 91.313;1132
 91.375;1140
 91.438;1137
 91.500;1132
 91.563;1127
 91.625;1127
 91.688;1135
 91.750;1118
 91.813;1123
 91.875;1127
 91.938;1130
 92.000;1127
 92.063;1123
 92.125;1132
 92.188;1123
 92.250;1125
 92.313;1135
 92.375;1130
 92.438;1130
 92.500;1123
 92.563;1120
 92.625;1123
 92.688;1120
 92.750;1120
 92.813;1120
 92.875;1125
 92.938;1127
 93.000;1127
 93.063;1127
 93.125;1123
 93.188;1130
 93.250;1130
 93.313;1123
 93.375;1118
 93.438;1123
 93.500;1127
 93.563;1125
 93.625;1120
 93.688;1142
 93.750;1147
 93.813;1140
 93.875;1147
 93.938;1152
 94.000;1130
 94.063;1130
 94.125;1113
 94.188;1120
 94.250;1120
 94.313;1120
 94.375;1123
 94.438;1125
 94.500;1123
 94.563;1118
 94.625;1113
 94.688;1115
 94.750;1115
 94.813;1120
 94.875;1115
 94.938;1123
 95.000;1110
 95.063;1113
 95.125;1118
 95.188;1118
 95.250;1120
 95.313;1120
 95.375;1118
 95.438;1120
 95.500;1103
 95.563;1120
 95.625;1127
 95.688;1113
 95.750;1108
 95.813;1140
 95.875;1201
 95.938;1391
 96.000;1442
 96.063;1477
 96.125;1494
 96.188;1459
 96.250;1403
 96.313;1264
 96.375;1145
 96.438;1123
 96.500;1115
 96.563;1127
 96.625;1125
 96.688;1127
 96.750;1115
 96.813;1113
 96.875;1118
 96.938;1115
 97.000;1108
 97.063;1115
 97.125;1120
 97.188;1125
 97.250;1120
 97.313;1127
 97.375;1125
 97.438;1120
 97.500;1115
 97.563;1125
 97.625;1118
 97.688;1123
 97.750;1115
 97.813;1123
 97.875;1130
 97.938;1120
 98.000;1120
 98.063;1132
