Frequency[MHz];Amplitude RX1[mV] at pwm=120
 82.125;1904
 82.188;1850
 82.250;1889
 82.313;1882
 82.375;1857
 82.438;1833
 82.500;1877
 82.563;1838
 82.625;1821
 82.688;1813
 82.750;1823
 82.813;1816
 82.875;1818
 82.938;1823
 83.000;1879
 83.063;1970
 83.125;1970
 83.188;1977
 83.250;1926
 83.313;1911
 83.375;1921
 83.438;1936
 83.500;1953
 83.563;1943
 83.625;1896
 83.688;1879
 83.750;1843
 83.813;1823
 83.875;1818
 83.938;1804
 84.000;1843
 84.063;1845
 84.125;1838
 84.188;1791
 84.250;1809
 84.313;1813
 84.375;1794
 84.438;1765
 84.500;1735
 84.563;1723
 84.625;1718
 84.688;1677
 84.750;1599
 84.813;1560
 84.875;1542
 84.938;1528
 85.000;1479
 85.063;1469
 85.125;1455
 85.188;1428
 85.250;1464
 85.313;1506
 85.375;1491
 85.438;1540
 85.500;1633
 85.563;1716
 85.625;1540
 85.688;1621
 85.750;1940
 85.813;2011
 85.875;2014
 85.938;1687
 86.000;1520
 86.063;1550
 86.125;1489
 86.188;1479
 86.250;1503
 86.313;1594
 86.375;1611
 86.438;1467
 86.500;1586
 86.563;1555
 86.625;1477
 86.688;1484
 86.750;1491
 86.813;1464
 86.875;1450
 86.938;1479
 87.000;1611
 87.063;1694
 87.125;1726
 87.188;1696
 87.250;1689
 87.313;1682
 87.375;1606
 87.438;1606
 87.500;1611
 87.563;1757
 87.625;1811
 87.688;1823
 87.750;1813
 87.813;1733
 87.875;1708
 87.938;1735
 88.000;1750
 88.063;1850
 88.125;1799
 88.188;1835
 88.250;1853
 88.313;1884
 88.375;1992
 88.438;2067
 88.500;2104
 88.563;2070
 88.625;1999
 88.688;1975
 88.750;1855
 88.813;1757
 88.875;1926
 88.938;2209
 89.000;2353
 89.063;2385
 89.125;2385
 89.188;2382
 89.250;2375
 89.313;2341
 89.375;2199
 89.438;2019
 89.500;1909
 89.563;1855
 89.625;1804
 89.688;1789
 89.750;1870
 89.813;1948
 89.875;1962
 89.938;1965
 90.000;1953
 90.063;1955
 90.125;2019
 90.188;1904
 90.250;1940
 90.313;1921
 90.375;1818
 90.438;1899
 90.500;1914
 90.563;1894
 90.625;1821
 90.688;1772
 90.750;1679
 90.813;1545
 90.875;1540
 90.938;1596
 91.000;1684
 91.063;1684
 91.125;1682
 91.188;1647
 91.250;1584
 91.313;1604
 91.375;1596
 91.438;1721
 91.500;1757
 91.563;1904
 91.625;2082
 91.688;2158
 91.750;2145
 91.813;2065
 91.875;2053
 91.938;1958
 92.000;1706
 92.063;1555
 92.125;1508
 92.188;1689
 92.250;1750
 92.313;1767
 92.375;1987
 92.438;2109
 92.500;2136
 92.563;2116
 92.625;2053
 92.688;2006
 92.750;1994
 92.813;1979
 92.875;2004
 92.938;1938
 93.000;1916
 93.063;1855
 93.125;1791
 93.188;1608
 93.250;1601
 93.313;1704
 93.375;1762
 93.438;1679
 93.500;1660
 93.563;1689
 93.625;1855
 93.688;1899
 93.750;1918
 93.813;1979
 93.875;2041
 93.938;2055
 94.000;2038
 94.063;1879
 94.125;1743
 94.188;1557
 94.250;1604
 94.313;1506
 94.375;1462
 94.438;1457
 94.500;1464
 94.563;1567
 94.625;1728
 94.688;1770
 94.750;2058
 94.813;2290
 94.875;2336
 94.938;2333
 95.000;2297
 95.063;2272
 95.125;2224
 95.188;2045
 95.250;1845
 95.313;1643
 95.375;1535
 95.438;1484
 95.500;1506
 95.563;1562
 95.625;1535
 95.688;1608
 95.750;1833
 95.813;1984
 95.875;2038
 95.938;2121
 96.000;2231
 96.063;2297
 96.125;2314
 96.188;2290
 96.250;2229
 96.313;2207
 96.375;1953
 96.438;1740
 96.500;1630
 96.563;1591
 96.625;1596
 96.688;1606
 96.750;1640
 96.813;1745
 96.875;1904
 96.938;2192
 97.000;2360
 97.063;2382
 97.125;2380
 97.188;2385
 97.250;2377
 97.313;2368
 97.375;2224
 97.438;1992
 97.500;1818
 97.563;1611
 97.625;1552
 97.688;1562
 97.750;1618
 97.813;1630
 97.875;1633
 97.938;1728
 98.000;1865
 98.063;1994
 98.125;2009
 98.188;2041
 98.250;2075
 98.313;2102
 98.375;2062
 98.438;1997
 98.500;1958
 98.563;1843
 98.625;1740
 98.688;1730
 98.750;1723
 98.813;1674
 98.875;1657
 98.938;1616
 99.000;1679
 99.063;1726
 99.125;1875
 99.188;2172
 99.250;2238
 99.313;2270
 99.375;2219
 99.438;2180
 99.500;2145
 99.563;2014
 99.625;1916
 99.688;1906
 99.750;1740
 99.813;1704
 99.875;1660
 99.938;1538
100.000;1555
100.063;1552
100.125;1591
100.188;1765
100.250;1789
100.313;2050
100.375;2131
100.438;2321
100.500;2341
100.563;2343
100.625;2316
100.688;2221
100.750;2185
100.813;1892
100.875;1787
100.938;1655
101.000;1745
101.063;1745
101.125;1884
101.188;2045
101.250;2114
101.313;2133
101.375;2055
101.438;1979
101.500;1882
101.563;1850
101.625;1811
101.688;1936
101.750;1867
101.813;1870
101.875;1826
101.938;1831
102.000;1713
102.063;1694
102.125;1708
102.188;1867
102.250;1835
102.313;1865
102.375;1850
102.438;1818
102.500;1799
102.563;1684
102.625;1503
102.688;1489
102.750;1542
102.813;1584
102.875;1635
102.938;1665
103.000;1928
103.063;1994
103.125;2021
103.188;1965
103.250;1911
103.313;1879
103.375;1914
103.438;1989
103.500;1955
103.563;1982
103.625;1894
103.688;1743
103.750;1604
103.813;1574
103.875;1596
103.938;1599
104.000;1508
104.063;1479
104.125;1499
104.188;1398
104.250;1337
104.313;1386
104.375;1564
104.438;1772
104.500;1909
104.563;2277
104.625;2370
104.688;2382
104.750;2380
104.813;2385
104.875;2380
104.938;2341
105.000;2265
105.063;1921
105.125;1689
105.188;1462
105.250;1420
105.313;1408
105.375;1374
105.438;1352
105.500;1333
105.563;1259
105.625;1225
105.688;1218
105.750;1235
105.813;1240
105.875;1210
105.938;1208
106.000;1281
106.063;1538
106.125;1552
106.188;1723
106.250;1928
106.313;1965
106.375;2136
106.438;2243
106.500;2270
106.563;2268
106.625;2207
106.688;2128
106.750;2019
106.813;1796
106.875;1618
106.938;1535
107.000;1520
107.063;1538
107.125;1491
107.188;1464
107.250;1391
107.313;1357
107.375;1418
107.438;1708
107.500;1550
107.563;1188
107.625;1142
107.688;1149
107.750;1213
107.813;1276
107.875;1274
107.938;1262
108.000;1596
108.063;1691
108.125;1459
108.188;1640
108.250;1691
108.313;1696
108.375;1650
108.438;1672
108.500;1669
108.563;1657
108.625;1826
108.688;1882
108.750;1926
108.813;1967
108.875;1948
108.938;1904
109.000;1594
109.063;1403
109.125;1315
109.188;1367
109.250;1542
109.313;1428
109.375;1210
109.438;1181
109.500;1206
109.563;1203
109.625;1228
109.688;1252
109.750;1186
109.813;1193
109.875;1198
109.938;1201
110.000;1215
110.063;1203
110.125;1174
110.188;1218
110.250;1301
110.313;1447
110.375;1464
110.438;1791
110.500;1884
110.563;1899
110.625;1950
110.688;1909
110.750;1904
110.813;1643
110.875;1398
110.938;1374
111.000;1379
111.063;1369
111.125;1384
111.188;1359
111.250;1350
111.313;1333
111.375;1320
111.438;1352
111.500;1376
111.563;1379
111.625;1386
111.688;1369
111.750;1372
111.813;1350
111.875;1359
111.938;1357
112.000;1416
112.063;1420
112.125;1472
112.188;1511
112.250;1616
112.313;1643
112.375;1616
112.438;1579
112.500;1564
112.563;1579
112.625;1535
112.688;1499
112.750;1496
112.813;1428
112.875;1394
112.938;1347
113.000;1362
113.063;1333
113.125;1384
113.188;1403
113.250;1464
113.313;1499
113.375;1430
113.438;1499
113.500;1437
113.563;1374
113.625;1352
113.688;1328
113.750;1335
113.813;1306
113.875;1333
113.938;1564
114.000;1684
114.063;1662
114.125;1708
114.188;1699
114.250;1586
114.313;1555
114.375;1599
114.438;1582
114.500;1621
114.563;1604
114.625;1550
114.688;1547
114.750;1523
114.813;1442
114.875;1423
114.938;1425
115.000;1494
115.063;1564
115.125;1560
115.188;1511
115.250;1484
115.313;1469
115.375;1389
115.438;1337
115.500;1345
115.563;1337
115.625;1357
115.688;1359
115.750;1389
115.813;1491
115.875;1582
115.938;1613
116.000;1855
116.063;1882
116.125;1887
116.188;1779
116.250;1730
116.313;1718
116.375;1691
116.438;1623
116.500;1618
116.563;1557
116.625;1486
116.688;1435
116.750;1423
116.813;1413
116.875;1425
116.938;1430
117.000;1416
117.063;1381
117.125;1384
117.188;1354
117.250;1350
117.313;1345
117.375;1362
117.438;1369
117.500;1369
117.563;1376
117.625;1411
117.688;1401
117.750;1425
117.813;1440
117.875;1452
117.938;1455
118.000;1452
118.063;1459
118.125;1520
118.188;1506
118.250;1528
118.313;1499
118.375;1472
118.438;1459
118.500;1408
118.563;1413
118.625;1423
118.688;1433
118.750;1445
118.813;1403
118.875;1394
118.938;1386
119.000;1384
119.063;1372
119.125;1372
119.188;1367
119.250;1374
119.313;1376
119.375;1411
119.438;1428
119.500;1442
119.563;1455
119.625;1435
119.688;1425
119.750;1423
119.813;1430
119.875;1469
119.938;1491
120.000;1596
120.063;1679
120.125;1674
120.188;1711
120.250;1616
120.313;1638
120.375;1557
120.438;1506
120.500;1494
120.563;1420
120.625;1416
120.688;1425
120.750;1403
120.813;1413
120.875;1428
120.938;1442
121.000;1437
121.063;1457
121.125;1459
121.188;1467
121.250;1484
121.313;1479
121.375;1479
121.438;1472
121.500;1481
121.563;1481
121.625;1479
121.688;1477
121.750;1469
121.813;1508
121.875;1525
121.938;1518
122.000;1589
122.063;1599
122.125;1596
122.188;1584
122.250;1518
122.313;1520
122.375;1494
122.438;1484
122.500;1467
122.563;1457
122.625;1440
122.688;1447
122.750;1440
122.813;1437
122.875;1442
122.938;1459
123.000;1442
123.063;1435
123.125;1445
123.188;1459
123.250;1459
123.313;1450
123.375;1433
123.438;1428
123.500;1428
123.563;1440
123.625;1435
123.688;1435
123.750;1425
123.813;1435
123.875;1445
123.938;1440
124.000;1435
124.063;1447
124.125;1452
124.188;1467
124.250;1462
124.313;1469
124.375;1455
124.438;1445
124.500;1450
124.563;1435
124.625;1433
124.688;1420
124.750;1442
124.813;1430
124.875;1447
124.938;1513
125.000;1520
125.063;1479
125.125;1467
125.188;1491
125.250;1457
125.313;1486
125.375;1491
125.438;1523
125.500;1508
125.563;1503
125.625;1467
125.688;1428
125.750;1450
125.813;1435
125.875;1447
125.938;1437
126.000;1437
126.063;1442
126.125;1437
126.188;1457
126.250;1452
126.313;1450
126.375;1447
126.438;1442
126.500;1464
126.563;1450
126.625;1462
126.688;1472
126.750;1467
126.813;1472
126.875;1457
126.938;1479
127.000;1469
127.063;1481
127.125;1467
127.188;1477
127.250;1494
127.313;1469
127.375;1499
127.438;1494
127.500;1499
127.563;1503
127.625;1499
127.688;1494
127.750;1472
127.813;1503
127.875;1484
127.938;1511
128.000;1503
128.063;1496
128.125;1506
128.188;1494
128.250;1518
128.313;1560
128.375;1696
128.438;1721
128.500;1718
128.563;1643
128.625;1625
128.688;1582
128.750;1520
128.813;1542
128.875;1533
128.938;1518
129.000;1525
129.063;1508
129.125;1528
129.188;1513
129.250;1528
129.313;1523
129.375;1523
129.438;1557
129.500;1530
129.563;1567
129.625;1577
129.688;1604
129.750;1572
129.813;1533
129.875;1542
129.938;1530
130.000;1567
130.063;1550
130.125;1572
130.188;1574
130.250;1599
130.313;1640
130.375;1684
130.438;1655
130.500;1701
130.563;1687
130.625;1689
130.688;1662
130.750;1682
130.813;1657
130.875;1662
130.938;1647
131.000;1640
131.063;1623
131.125;1611
131.188;1618
131.250;1584
131.313;1591
131.375;1574
131.438;1577
131.500;1577
131.563;1569
131.625;1574
131.688;1545
131.750;1564
131.813;1552
131.875;1557
131.938;1564
132.000;1535
132.063;1562
132.125;1530
132.188;1552
132.250;1535
132.313;1530
132.375;1530
132.438;1511
132.500;1533
132.563;1503
132.625;1550
132.688;1542
132.750;1550
132.813;1555
132.875;1611
132.938;1879
133.000;1933
133.063;1979
133.125;1916
133.188;1862
133.250;1848
133.313;1760
133.375;1760
133.438;1682
133.500;1674
133.563;1625
133.625;1569
133.688;1555
133.750;1538
133.813;1567
133.875;1545
133.938;1562
134.000;1550
134.063;1533
134.125;1562
134.188;1523
134.250;1579
134.313;1564
134.375;1572
134.438;1567
134.500;1557
134.563;1560
134.625;1523
134.688;1569
134.750;1547
134.813;1562
134.875;1572
134.938;1567
135.000;1618
135.063;1577
135.125;1594
135.188;1582
135.250;1569
135.313;1564
135.375;1535
135.438;1550
135.500;1523
135.563;1552
135.625;1542
135.688;1550
135.750;1540
135.813;1528
135.875;1547
135.938;1518
136.000;1528
136.063;1518
136.125;1525
136.188;1525
136.250;1508
136.313;1530
136.375;1518
136.438;1547
136.500;1528
136.563;1540
136.625;1538
136.688;1530
136.750;1540
136.813;1523
136.875;1542
136.938;1547
137.000;1542
137.063;1577
137.125;1630
137.188;1652
137.250;1669
137.313;1628
137.375;1604
137.438;1586
137.500;1569
137.563;1564
137.625;1650
137.688;1608
137.750;1623
137.813;1608
137.875;1582
137.938;1562
138.000;1545
138.063;1540
138.125;1535
138.188;1540
138.250;1550
138.313;1562
138.375;1584
138.438;1579
138.500;1589
138.563;1584
138.625;1579
138.688;1560
138.750;1545
138.813;1550
138.875;1538
138.938;1562
139.000;1555
139.063;1582
139.125;1579
139.188;1589
139.250;1582
139.313;1569
139.375;1562
139.438;1552
139.500;1557
139.563;1540
139.625;1538
139.688;1552
139.750;1547
139.813;1557
139.875;1569
139.938;1577
140.000;1557
140.063;1560
140.125;1545
140.188;1552
140.250;1557
140.313;1567
140.375;1567
140.438;1579
140.500;1569
140.563;1564
140.625;1564
140.688;1552
140.750;1547
140.813;1555
140.875;1560
140.938;1550
141.000;1555
141.063;1586
141.125;1591
141.188;1594
141.250;1599
141.313;1574
141.375;1594
141.438;1633
141.500;1579
141.563;1564
