Frequency[MHz];Amplitude RX1[mV] at pwm=60
 83.500;1716
 83.563;1733
 83.625;1755
 83.688;1791
 83.750;1799
 83.813;1796
 83.875;1896
 83.938;2172
 84.000;2316
 84.063;2348
 84.125;2351
 84.188;2351
 84.250;2348
 84.313;2333
 84.375;2202
 84.438;1960
 84.500;1821
 84.563;1750
 84.625;1772
 84.688;1760
 84.750;1726
 84.813;1740
 84.875;1755
 84.938;1718
 85.000;1672
 85.063;1669
 85.125;1672
 85.188;1650
 85.250;1618
 85.313;1643
 85.375;1687
 85.438;1677
 85.500;1757
 85.563;1706
 85.625;1662
 85.688;1662
 85.750;1677
 85.813;1672
 85.875;1669
 85.938;1645
 86.000;1660
 86.063;1669
 86.125;1677
 86.188;1677
 86.250;1672
 86.313;1696
 86.375;1667
 86.438;1665
 86.500;1677
 86.563;1674
 86.625;1682
 86.688;1691
 86.750;1750
 86.813;1796
 86.875;1816
 86.938;1721
 87.000;1674
 87.063;1640
 87.125;1621
 87.188;1516
 87.250;1479
 87.313;1423
 87.375;1389
 87.438;1411
 87.500;1423
 87.563;1372
 87.625;1538
 87.688;1669
 87.750;1940
 87.813;2023
 87.875;2011
 87.938;1647
 88.000;1474
 88.063;1535
 88.125;1621
 88.188;1630
 88.250;1650
 88.313;1574
 88.375;1435
 88.438;1450
 88.500;1662
 88.563;1418
 88.625;1416
 88.688;1455
 88.750;1484
 88.813;1574
 88.875;1662
 88.938;1489
 89.000;1616
 89.063;1713
 89.125;1501
 89.188;1376
 89.250;1425
 89.313;1452
 89.375;1447
 89.438;1577
 89.500;1540
 89.563;1457
 89.625;1464
 89.688;1491
 89.750;1462
 89.813;1479
 89.875;1491
 89.938;1499
 90.000;1445
 90.063;1574
 90.125;1743
 90.188;1911
 90.250;2075
 90.313;2114
 90.375;2102
 90.438;2077
 90.500;2041
 90.563;1784
 90.625;1757
 90.688;1665
 90.750;1621
 90.813;1674
 90.875;1872
 90.938;2175
 91.000;2309
 91.063;2333
 91.125;2346
 91.188;2336
 91.250;2331
 91.313;2265
 91.375;1965
 91.438;1870
 91.500;1691
 91.563;1618
 91.625;1723
 91.688;1909
 91.750;2033
 91.813;2053
 91.875;2036
 91.938;2038
 92.000;1989
 92.063;1950
 92.125;1862
 92.188;1689
 92.250;1665
 92.313;1650
 92.375;1640
 92.438;1799
 92.500;1855
 92.563;2011
 92.625;1999
 92.688;1994
 92.750;1972
 92.813;1997
 92.875;1967
 92.938;1931
 93.000;1850
 93.063;1762
 93.125;1633
 93.188;1691
 93.250;1752
 93.313;2031
 93.375;2092
 93.438;2248
 93.500;2309
 93.563;2275
 93.625;2255
 93.688;2224
 93.750;1970
 93.813;1896
 93.875;1740
 93.938;1596
 94.000;1630
 94.063;1804
 94.125;1896
 94.188;2197
 94.250;2260
 94.313;2277
 94.375;2255
 94.438;2224
 94.500;2155
 94.563;1967
 94.625;1838
 94.688;1738
 94.750;1767
 94.813;1853
 94.875;2197
 94.938;2246
 95.000;2302
 95.063;2304
 95.125;2270
 95.188;2246
 95.250;2045
 95.313;1994
 95.375;1931
 95.438;1772
 95.500;1743
 95.563;1701
 95.625;1850
 95.688;1909
 95.750;2009
 95.813;2016
 95.875;2031
 95.938;2031
 96.000;2001
 96.063;1960
 96.125;1923
 96.188;1877
 96.250;1765
 96.313;1735
 96.375;1733
 96.438;1860
 96.500;1977
 96.563;2111
 96.625;2253
 96.688;2316
 96.750;2312
 96.813;2290
 96.875;2253
 96.938;2141
 97.000;1914
 97.063;1818
 97.125;1662
 97.188;1752
 97.250;1777
 97.313;1960
 97.375;2006
 97.438;2023
 97.500;2028
 97.563;1982
 97.625;1979
 97.688;1933
 97.750;1875
 97.813;1850
 97.875;1665
 97.938;1726
 98.000;1718
 98.063;1838
 98.125;1960
 98.188;2192
 98.250;2253
 98.313;2282
 98.375;2255
 98.438;2253
 98.500;2172
 98.563;2004
 98.625;1884
 98.688;1799
 98.750;1472
 98.813;1647
 98.875;1738
 98.938;1767
 99.000;1789
 99.063;1809
 99.125;1816
 99.188;1723
 99.250;1677
 99.313;1730
 99.375;1789
 99.438;1821
 99.500;1765
 99.563;1752
 99.625;1640
 99.688;1562
 99.750;1628
 99.813;1816
 99.875;1813
 99.938;1743
100.000;1728
100.063;1555
100.125;1674
100.188;1657
100.250;1586
100.313;1567
100.375;1562
100.438;1572
100.500;1638
100.563;1635
100.625;1718
100.688;1896
100.750;1950
100.813;1831
100.875;1723
100.938;1640
101.000;1542
101.063;1579
101.125;1440
101.188;1484
101.250;1511
101.313;1474
101.375;1479
101.438;1525
101.500;1801
101.563;1843
101.625;1699
101.688;1501
101.750;1418
101.813;1166
101.875;1206
101.938;1599
102.000;1708
102.063;1542
102.125;1462
102.188;1455
102.250;1640
102.313;1704
102.375;1716
102.438;1733
102.500;1650
102.563;1496
102.625;1279
102.688;1379
102.750;1325
102.813;1206
102.875;1213
102.938;1281
103.000;1416
103.063;1433
103.125;1206
103.188;1147
103.250;1083
103.313;1191
103.375;1748
103.438;1750
103.500;1430
103.563;1462
103.625;1599
103.688;1687
103.750;1884
103.813;2167
103.875;2294
103.938;2343
104.000;2351
104.063;2355
104.125;2351
104.188;2333
104.250;2241
104.313;2053
104.375;1799
104.438;1450
104.500;1286
104.563;1171
104.625;1157
104.688;1145
104.750;1418
104.813;1254
104.875;1174
104.938;1066
105.000;1232
105.063;1069
105.125;1093
105.188;1210
105.250;1113
105.313;1428
105.375;1904
105.438;1833
105.500;1286
105.563;1154
105.625;1398
105.688;1628
105.750;1481
105.813;1440
105.875;1376
105.938;1264
106.000;1110
106.063;1081
106.125;1079
106.188;1096
106.250;1213
106.313;1335
106.375;1352
106.438;1481
106.500;1696
106.563;1110
106.625;1257
106.688;1799
106.750;2060
106.813;1838
106.875;1166
106.938;1083
107.000;1113
107.063;1162
107.125;1252
107.188;1115
107.250;1110
107.313;1154
107.375;1293
107.438;1269
107.500;1081
107.563;1142
107.625;1164
107.688;1157
107.750;1206
107.813;1394
107.875;1640
107.938;1862
108.000;1992
108.063;2033
108.125;2106
108.188;2065
108.250;1948
108.313;1621
108.375;1333
108.438;1320
108.500;1418
108.563;1447
108.625;1425
108.688;1428
108.750;1440
108.813;1442
108.875;1428
108.938;1442
109.000;1452
109.063;1455
109.125;1459
109.188;1464
109.250;1447
109.313;1440
109.375;1411
109.438;1425
109.500;1447
109.563;1420
109.625;1450
109.688;1442
109.750;1442
109.813;1420
109.875;1442
109.938;1413
110.000;1437
110.063;1440
110.125;1464
110.188;1469
110.250;1467
110.313;1464
110.375;1474
110.438;1479
110.500;1491
110.563;1440
110.625;1442
110.688;1474
110.750;1525
110.813;1694
110.875;1984
110.938;2026
111.000;2094
111.063;2026
111.125;1999
111.188;1882
111.250;1728
111.313;1667
111.375;1684
111.438;1706
111.500;1638
111.563;1582
111.625;1555
111.688;1433
111.750;1394
111.813;1430
111.875;1455
111.938;1455
112.000;1489
112.063;1501
112.125;1486
112.188;1547
112.250;1506
112.313;1489
112.375;1499
112.438;1469
112.500;1440
112.563;1459
112.625;1430
112.688;1455
112.750;1455
112.813;1430
112.875;1457
112.938;1496
113.000;1518
113.063;1530
113.125;1555
113.188;1618
113.250;1901
113.313;2048
113.375;2072
113.438;2050
113.500;2053
113.563;2023
113.625;1770
113.688;1584
113.750;1579
113.813;1564
113.875;1557
113.938;1586
114.000;1638
114.063;1923
114.125;2053
114.188;2087
114.250;2058
114.313;2016
114.375;1989
114.438;1821
114.500;1564
114.563;1555
114.625;1525
114.688;1662
114.750;1975
114.813;2084
114.875;2150
114.938;2128
115.000;2087
115.063;2038
115.125;1960
115.188;1601
115.250;1552
115.313;1469
115.375;1433
115.438;1479
115.500;1508
115.563;1513
115.625;1535
115.688;1516
115.750;1501
115.813;1477
115.875;1481
115.938;1457
116.000;1452
116.063;1452
116.125;1455
116.188;1428
116.250;1484
116.313;1564
116.375;1684
116.438;1953
116.500;2145
116.563;2197
116.625;2199
116.688;2163
116.750;2126
116.813;1989
116.875;1767
116.938;1574
117.000;1533
117.063;1525
117.125;1481
117.188;1464
117.250;1464
117.313;1484
117.375;1503
117.438;1506
117.500;1511
117.563;1486
117.625;1469
117.688;1462
117.750;1459
117.813;1452
117.875;1457
117.938;1552
118.000;1728
118.063;1882
118.125;2031
118.188;2138
118.250;2082
118.313;2087
118.375;1943
118.438;1843
118.500;1611
118.563;1435
118.625;1420
118.688;1477
118.750;1503
118.813;1503
118.875;1523
118.938;1528
119.000;1540
119.063;1528
119.125;1550
119.188;1706
119.250;1779
119.313;1831
119.375;1787
119.438;1779
119.500;1767
119.563;1743
119.625;1687
119.688;1669
119.750;1643
119.813;1601
119.875;1564
119.938;1542
120.000;1452
120.063;1420
120.125;1396
120.188;1398
120.250;1406
120.313;1420
120.375;1440
120.438;1442
120.500;1481
120.563;1525
120.625;1547
120.688;1560
120.750;1530
120.813;1474
120.875;1420
120.938;1396
121.000;1418
121.063;1413
121.125;1428
121.188;1413
121.250;1401
121.313;1374
121.375;1398
121.438;1437
121.500;1428
121.563;1425
121.625;1442
121.688;1464
121.750;1462
121.813;1437
121.875;1433
121.938;1389
122.000;1401
122.063;1401
122.125;1462
122.188;1464
122.250;1496
122.313;1506
122.375;1457
122.438;1425
122.500;1401
122.563;1386
122.625;1386
122.688;1381
122.750;1386
122.813;1376
122.875;1379
122.938;1379
123.000;1384
123.063;1376
123.125;1362
123.188;1372
123.250;1374
123.313;1376
123.375;1401
123.438;1425
123.500;1455
123.563;1635
123.625;1779
123.688;1938
123.750;2248
123.813;2314
123.875;2343
123.938;2341
124.000;2331
124.063;2294
124.125;2109
124.188;1948
124.250;1772
124.313;1474
124.375;1408
124.438;1401
124.500;1386
124.563;1384
124.625;1381
124.688;1403
124.750;1379
124.813;1372
124.875;1394
124.938;1413
125.000;1433
125.063;1437
125.125;1413
125.188;1403
125.250;1357
125.313;1357
125.375;1359
125.438;1362
125.500;1369
125.563;1372
125.625;1381
125.688;1381
125.750;1376
125.813;1381
125.875;1423
125.938;1657
126.000;1643
126.063;1711
126.125;1691
126.188;1643
126.250;1555
126.313;1491
126.375;1528
126.438;1574
126.500;1530
126.563;1601
126.625;1579
126.688;1542
126.750;1508
126.813;1467
126.875;1428
126.938;1384
127.000;1359
127.063;1337
127.125;1342
127.188;1340
127.250;1333
127.313;1350
127.375;1357
127.438;1357
127.500;1362
127.563;1379
127.625;1396
127.688;1425
127.750;1459
127.813;1625
127.875;1752
127.938;1752
128.000;1789
128.063;1740
128.125;1657
128.188;1530
128.250;1484
128.313;1516
128.375;1511
128.438;1511
128.500;1506
128.563;1494
128.625;1528
128.688;1516
128.750;1582
128.813;1572
128.875;1591
128.938;1606
129.000;1567
129.063;1538
129.125;1550
129.188;1494
129.250;1457
129.313;1503
129.375;1496
129.438;1501
129.500;1591
129.563;1623
129.625;1650
129.688;1645
129.750;1616
129.813;1591
129.875;1567
129.938;1518
130.000;1545
130.063;1520
130.125;1564
130.188;1540
130.250;1625
130.313;1582
130.375;1635
130.438;1640
130.500;1613
130.563;1596
130.625;1530
130.688;1552
130.750;1552
130.813;1669
130.875;1682
130.938;1657
131.000;1625
131.063;1555
131.125;1511
131.188;1496
131.250;1499
131.313;1484
131.375;1479
131.438;1474
131.500;1462
131.563;1464
131.625;1486
131.688;1469
131.750;1506
131.813;1540
131.875;1564
131.938;1552
132.000;1599
132.063;1640
132.125;1611
132.188;1596
132.250;1586
132.313;1552
132.375;1496
132.438;1474
132.500;1506
132.563;1508
132.625;1484
132.688;1506
132.750;1494
132.813;1474
132.875;1467
132.938;1489
133.000;1525
133.063;1489
133.125;1523
133.188;1535
133.250;1579
133.313;1582
133.375;1564
133.438;1552
133.500;1560
133.563;1577
133.625;1564
133.688;1599
133.750;1562
133.813;1535
133.875;1569
133.938;1550
134.000;1577
134.063;1611
134.125;1572
134.188;1557
134.250;1523
134.313;1491
134.375;1503
134.438;1491
134.500;1494
134.563;1518
134.625;1577
134.688;1708
134.750;1770
134.813;1757
134.875;1711
134.938;1699
135.000;1572
135.063;1503
135.125;1501
135.188;1499
135.250;1484
135.313;1538
135.375;1718
135.438;1762
135.500;1774
135.563;1672
135.625;1713
135.688;1601
135.750;1486
135.813;1469
135.875;1464
135.938;1472
136.000;1452
136.063;1442
136.125;1462
136.188;1469
136.250;1486
136.313;1506
136.375;1530
136.438;1545
136.500;1535
136.563;1513
136.625;1481
136.688;1472
136.750;1457
136.813;1486
136.875;1491
