Frequency[MHz];Amplitude RX1[mV] at pwm=120
 92.688;1853
 92.750;1870
 92.813;1862
 92.875;1835
 92.938;1826
 93.000;1806
 93.063;1757
 93.125;1718
 93.188;1684
 93.250;1689
 93.313;1684
 93.375;1691
 93.438;1708
 93.500;1708
 93.563;1704
 93.625;1679
 93.688;1647
 93.750;1635
 93.813;1613
 93.875;1647
 93.938;1672
 94.000;1650
 94.063;1689
 94.125;1633
 94.188;1645
 94.250;1621
 94.313;1630
 94.375;1650
 94.438;1669
 94.500;1701
 94.563;1711
 94.625;1723
 94.688;1708
 94.750;1674
 94.813;1699
 94.875;1708
 94.938;1752
 95.000;1972
 95.063;2121
 95.125;2160
 95.188;2128
 95.250;2109
 95.313;2089
 95.375;2016
 95.438;1811
 95.500;1701
 95.563;1669
 95.625;1762
 95.688;1809
 95.750;1843
 95.813;1799
 95.875;1811
 95.938;1774
 96.000;1706
 96.063;1672
 96.125;1689
 96.188;1713
 96.250;1899
 96.313;1914
 96.375;1931
 96.438;1896
 96.500;1855
 96.563;1733
 96.625;1726
 96.688;1699
 96.750;1718
 96.813;1708
 96.875;1752
 96.938;1767
 97.000;1733
 97.063;1728
 97.125;1706
 97.188;1682
 97.250;1733
 97.313;1748
 97.375;1848
 97.438;2121
 97.500;2224
 97.563;2221
 97.625;2197
 97.688;2187
 97.750;2136
 97.813;1940
 97.875;1757
 97.938;1718
 98.000;1953
 98.063;1975
 98.125;2011
 98.188;1931
 98.250;1914
 98.313;1862
 98.375;1796
 98.438;1860
 98.500;1845
 98.563;1882
 98.625;1865
 98.688;1811
 98.750;1796
 98.813;1804
 98.875;1938
 98.938;1977
 99.000;1916
 99.063;1872
 99.125;1828
 99.188;1782
 99.250;1791
 99.313;1762
 99.375;1765
 99.438;1730
 99.500;1782
 99.563;1945
 99.625;2250
 99.688;2326
 99.750;2348
 99.813;2346
 99.875;2329
 99.938;2316
100.000;2182
100.063;2038
100.125;1994
100.188;1977
100.250;1940
100.313;1918
100.375;1921
100.438;2045
100.500;2172
100.563;2155
100.625;2155
100.688;2126
100.750;2033
100.813;1965
100.875;2080
100.938;2124
101.000;2084
101.063;2038
101.125;2019
101.188;1845
101.250;1770
101.313;1760
101.375;1767
101.438;1762
101.500;1743
101.563;1738
101.625;1791
101.688;1782
101.750;1899
101.813;1889
101.875;1816
101.938;1865
102.000;1899
102.063;2050
102.125;2075
102.188;2114
102.250;2060
102.313;2006
102.375;1904
102.438;1967
102.500;1909
102.563;1975
102.625;1948
102.688;1948
102.750;1872
102.813;1850
102.875;1872
102.938;1826
103.000;1796
103.063;1779
103.125;1787
103.188;1772
103.250;1760
103.313;1774
103.375;1760
103.438;1740
103.500;1809
103.563;2048
103.625;2099
103.688;2084
103.750;2023
103.813;2019
103.875;1884
103.938;1796
104.000;1760
104.063;1770
104.125;1728
104.188;1733
104.250;1779
104.313;1784
104.375;1857
104.438;2104
104.500;2148
104.563;2233
104.625;2202
104.688;2128
104.750;2092
104.813;1938
104.875;1791
104.938;1735
105.000;1689
105.063;1794
105.125;1821
105.188;1833
105.250;1833
105.313;1857
105.375;1840
105.438;1884
105.500;1911
105.563;1987
105.625;1953
105.688;1865
105.750;1850
105.813;1767
105.875;1745
105.938;1765
106.000;1801
106.063;1828
106.125;1816
106.188;1816
106.250;1765
106.313;1721
106.375;1691
106.438;1677
106.500;1716
106.563;1791
106.625;1838
106.688;1840
106.750;1840
106.813;1804
106.875;1806
106.938;1840
107.000;1848
107.063;1862
107.125;1818
107.188;1791
107.250;1721
107.313;1721
107.375;1735
107.438;1782
107.500;1801
107.563;1845
107.625;1804
107.688;1770
107.750;1738
107.813;1669
107.875;1660
107.938;1665
108.000;1650
108.063;1647
108.125;1645
108.188;1650
108.250;1657
108.313;1689
108.375;1733
108.438;1743
108.500;1757
108.563;1726
108.625;1672
108.688;1652
108.750;1633
108.813;1643
108.875;1718
108.938;1728
109.000;1733
109.063;1882
109.125;1904
109.188;1901
109.250;1877
109.313;1901
109.375;1843
109.438;1770
109.500;1733
109.563;1689
109.625;1716
109.688;1748
109.750;1770
109.813;1755
109.875;1735
109.938;1711
110.000;1691
110.063;1689
110.125;1674
110.188;1682
110.250;1784
110.313;1826
110.375;1801
110.438;1755
110.500;1735
110.563;1711
110.625;1679
110.688;1662
110.750;1650
110.813;1669
110.875;1704
110.938;1691
111.000;1694
111.063;1677
111.125;1674
111.188;1694
111.250;1718
111.313;1728
111.375;1733
111.438;1962
111.500;2016
111.563;2077
111.625;2043
111.688;1984
111.750;1931
111.813;1777
111.875;1682
111.938;1704
112.000;1987
112.063;2043
112.125;2089
112.188;2019
112.250;2006
112.313;1936
112.375;1777
112.438;1750
112.500;1750
112.563;1787
112.625;1743
112.688;1728
112.750;1726
112.813;1728
112.875;1782
112.938;1813
113.000;1791
113.063;1752
113.125;1730
113.188;1677
113.250;1679
113.313;1657
113.375;1679
113.438;1650
113.500;1699
113.563;1706
113.625;2058
113.688;2214
113.750;2258
113.813;2272
113.875;2233
113.938;2175
114.000;1906
114.063;1918
114.125;1843
114.188;1828
